time,ts_ms,price,volume
2025-07-02T16:00:00Z,1751474989938,0.996,10.0
2025-07-02T16:00:00Z,1751474989938,0.9959,10000.0
2025-07-02T16:00:00Z,1751474989938,0.9959,50000.0
2025-07-02T16:00:00Z,1751474989938,0.9955,1.0
2025-07-02T16:00:00Z,1751474989938,0.996,50.0
2025-07-02T16:00:00Z,1751474989938,0.996,20.0
2025-07-02T16:00:00Z,1751474989938,0.9951,50.0
2025-07-02T16:00:00Z,1751474989938,0.9951,2.0
2025-07-02T16:00:00Z,1751474989938,0.995,20.0
2025-07-02T16:00:00Z,1751474989938,0.995,1.0
2025-07-02T16:00:00Z,1751474989938,0.995,10.0
2025-07-02T16:00:00Z,1751474989938,0.995,10.0
2025-07-02T16:00:00Z,1751474989938,0.995,100.85
2025-07-02T16:00:00Z,1751474989938,0.9948,21270.59
2025-07-02T16:00:00Z,1751474989938,0.9945,1.0
2025-07-02T16:00:00Z,1751474989938,0.996,1.0
2025-07-02T16:00:00Z,1751474989938,0.9941,1.02
2025-07-02T16:00:00Z,1751474989938,0.9961,1.02
2025-07-02T16:00:00Z,1751474989938,0.9963,20933.42
2025-07-02T16:00:00Z,1751474989938,0.9966,38031.67
2025-07-02T16:00:00Z,1751474989938,0.9967,226.69
2025-07-02T16:00:00Z,1751474989938,0.9967,1.0
2025-07-02T16:00:00Z,1751474989938,0.9969,6.0
2025-07-02T16:00:00Z,1751474989938,0.997,5.0
2025-07-02T16:00:00Z,1751474989938,0.997,100.0
2025-07-02T16:00:00Z,1751474989938,0.997,2.0
2025-07-02T16:00:00Z,1751474989938,0.997,20.0
2025-07-02T16:00:00Z,1751474989938,0.9971,32761.12
2025-07-02T16:00:00Z,1751474989938,0.9971,1.02
2025-07-02T16:00:00Z,1751474989938,0.9975,11.02
2025-07-02T16:00:00Z,1751474989938,0.9976,27026.02
2025-07-02T16:00:00Z,1751474989938,0.9976,1000.0
2025-07-02T16:00:00Z,1751474989938,0.9978,10739.12
2025-07-02T16:00:00Z,1751474989938,0.9978,50000.0
2025-07-02T16:00:00Z,1751474989938,0.9979,100.21
2025-07-02T16:00:00Z,1751474989938,0.998,1310.74
2025-07-02T16:00:00Z,1751474989938,0.998,40.0
2025-07-02T16:00:00Z,1751474989938,0.998,465.16
2025-07-02T16:00:00Z,1751474989938,0.998,1.87
2025-07-02T16:00:00Z,1751474989938,0.994,10.0
2025-07-02T16:00:00Z,1751474989938,0.998,5.0
2025-07-02T16:00:00Z,1751474989938,0.998,50.1
2025-07-02T16:00:00Z,1751474989938,0.998,2.0
2025-07-02T16:00:00Z,1751474989938,0.998,2000.0
2025-07-02T16:00:00Z,1751474989938,0.998,20.0
2025-07-02T16:00:00Z,1751474989938,0.9981,2.0
2025-07-02T16:00:00Z,1751474989938,0.9982,25.0
2025-07-02T16:00:00Z,1751474989938,0.9983,2.4
2025-07-02T16:00:00Z,1751474989938,0.9983,350.0
2025-07-02T16:00:00Z,1751474989938,0.9983,2.0
2025-07-02T16:00:00Z,1751474989938,0.9984,10000.0
2025-07-02T16:00:00Z,1751474989938,0.9984,25.0
2025-07-02T16:00:00Z,1751474989938,0.9985,99.18
2025-07-02T16:00:00Z,1751474989938,0.9985,50.07
2025-07-02T16:00:00Z,1751474989938,0.9985,10000.0
2025-07-02T16:00:00Z,1751474989938,0.9985,10.0
2025-07-02T16:00:00Z,1751474989938,0.991,1.0
2025-07-02T16:00:00Z,1751474989938,0.9985,10.4
2025-07-02T16:00:00Z,1751474989938,0.9985,4.06
2025-07-02T16:00:00Z,1751474989938,0.994,20.0
2025-07-02T16:00:00Z,1751474989938,0.994,1.0
2025-07-02T16:00:00Z,1751474989938,0.9985,30.04
2025-07-02T16:00:00Z,1751474989938,0.9985,11.01
2025-07-02T16:00:00Z,1751474989938,0.991,10.0
2025-07-02T16:00:00Z,1751474989938,0.9905,1.0
2025-07-02T16:00:00Z,1751474989938,0.9905,45.37
2025-07-02T16:00:00Z,1751474989938,0.9903,1.01
2025-07-02T16:00:00Z,1751474989938,0.9903,5.0
2025-07-02T16:00:00Z,1751474989938,0.9901,2.0
2025-07-02T16:00:00Z,1751474989938,0.99,20.0
2025-07-02T16:00:00Z,1751474989938,0.99,2.31
2025-07-02T16:00:00Z,1751474989938,0.99,6.06
2025-07-02T16:00:00Z,1751474989938,0.99,1.01
2025-07-02T16:00:00Z,1751474989938,0.99,50000.0
2025-07-02T16:00:00Z,1751474989938,0.99,10.72
2025-07-02T16:00:00Z,1751474989938,0.99,6.01
2025-07-02T16:00:00Z,1751474989938,0.99,10.0
2025-07-02T16:00:00Z,1751474989938,0.9985,4.53
2025-07-02T16:00:00Z,1751474989938,0.99,500.0
2025-07-02T16:00:00Z,1751474989938,0.99,1919.84
2025-07-02T16:00:00Z,1751474989938,0.99,1.67
2025-07-02T16:00:00Z,1751474989938,0.991,10000.0
2025-07-02T16:00:00Z,1751474989938,0.9911,10.0
2025-07-02T16:00:00Z,1751474989938,0.9912,200.0
2025-07-02T16:00:00Z,1751474989938,0.9985,5.0
2025-07-02T16:00:00Z,1751474989938,0.9915,50000.0
2025-07-02T16:00:00Z,1751474989938,0.9986,99.16
2025-07-02T16:00:00Z,1751474989938,0.9986,10000.0
2025-07-02T16:00:00Z,1751474989938,0.9986,15.02
2025-07-02T16:00:00Z,1751474989938,0.9986,100.0
2025-07-02T16:00:00Z,1751474989938,0.9987,15103.2
2025-07-02T16:00:00Z,1751474989938,0.9987,2510.0
2025-07-02T16:00:00Z,1751474989938,0.9987,403.65
2025-07-02T16:00:00Z,1751474989938,0.9987,10000.0
2025-07-02T16:00:00Z,1751474989938,0.9987,5.0
2025-07-02T16:00:00Z,1751474989938,0.9987,249.93
2025-07-02T16:00:00Z,1751474989938,0.9987,10.01
2025-07-02T16:00:00Z,1751474989938,0.9987,500.0
2025-07-02T16:00:00Z,1751474989938,0.9988,40.04
2025-07-02T16:00:00Z,1751474989938,0.9988,10000.0
2025-07-02T16:00:00Z,1751474989938,0.9988,10.02
2025-07-02T16:00:00Z,1751474989938,0.9988,4.02
2025-07-02T16:00:00Z,1751474989938,0.9988,200.0
2025-07-02T16:00:00Z,1751474989938,0.9988,100.0
2025-07-02T16:00:00Z,1751474989938,0.9988,20.02
2025-07-02T16:00:00Z,1751474989938,0.9915,1.0
2025-07-02T16:00:00Z,1751474989938,0.9988,500.0
2025-07-02T16:00:00Z,1751474989938,0.9933,10596.76
2025-07-02T16:00:00Z,1751474989938,0.9988,25.0
2025-07-02T16:00:00Z,1751474989938,0.9988,5.0
2025-07-02T16:00:00Z,1751474989938,0.9989,250.0
2025-07-02T16:00:00Z,1751474989938,0.9989,2.0
2025-07-02T16:00:00Z,1751474989938,0.9989,10000.0
2025-07-02T16:00:00Z,1751474989938,0.9989,1.2
2025-07-02T16:00:00Z,1751474989938,0.9989,1001.1
2025-07-02T16:00:00Z,1751474989938,0.9989,1.35
2025-07-02T16:00:00Z,1751474989938,0.9989,2.0
2025-07-02T16:00:00Z,1751474989938,0.9989,32.0
2025-07-02T16:00:00Z,1751474989938,0.9989,106.27
2025-07-02T16:00:00Z,1751474989938,0.9989,288.92
2025-07-02T16:00:00Z,1751474989938,0.992,10.0
2025-07-02T16:00:00Z,1751474989938,0.992,274.35
2025-07-02T16:00:00Z,1751474989938,0.9931,2.0
2025-07-02T16:00:00Z,1751474989938,0.992,25.0
2025-07-02T16:00:00Z,1751474989938,0.9935,1.0
2025-07-02T16:00:00Z,1751474989938,0.992,3.5
2025-07-02T16:00:00Z,1751474989938,0.993,20.0
2025-07-02T16:00:00Z,1751474989938,0.992,1.0
2025-07-02T16:00:00Z,1751474989938,0.993,1.0
2025-07-02T16:00:00Z,1751474989938,0.993,10.0
2025-07-02T16:00:00Z,1751474989938,0.996,100.4
2025-07-02T16:00:00Z,1751474989938,0.9929,2.32
2025-07-02T16:00:00Z,1751474989938,0.9939,50000.0
2025-07-02T16:00:00Z,1751474989938,0.9921,1.02
2025-07-02T16:00:00Z,1751474989938,0.9923,5.04
2025-07-02T16:00:00Z,1751474989938,0.9925,1.0
2025-07-02T16:00:00Z,1751474994613,0.9912,4521.41
2025-07-02T16:00:00Z,1751474994613,0.992,181.45
